"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"1",181784,"food","off_brand",4.7,5,6,78.3,1721
"2",111588,"health","off_brand",3.8,9,29,27.3,1802
"3",189264,"other","off_brand",3.5,5,30,NA,4083
"4",134612,"toys","off_brand",2.8,7,19,31.8,2842
"5",112390,"health","off_brand",4.4,6,23,5.2,848
"6",135428,"health","off_brand",4.2,3,24,47.3,2082
"7",87263,"other","premium",3.3,3,24,15.5,1888
"8",103076,"other","off_brand",4,12,17,91,1134
"9",154338,"other","premium",4.2,9,10,38,2686
"10",195873,"toys","off_brand",4.9,4,25,91.7,2943
"11",122058,"health","off_brand",3.9,7,21,60.3,1819
"12",173760,"health","premium",4.2,3,12,22.7,2797
"13",192990,"other","off_brand",4.2,4,28,68.3,3485
"14",167539,"health","off_brand",4.5,2,16,12.3,2134
"15",157113,"health","off_brand",3.4,175,23,67.8,2765
"16",57622,"toys","off_brand",3.6,11,14,90.6,994
"17",111328,"health","premium",4.3,8,23,66.7,1191
"18",104652,"toys","off_brand",3.5,4,21,76.8,1216
"19",108803,"toys","premium",4.4,18,25,24,1080
"20",117851,"other","off_brand",4.1,2,14,58,1079
"21",107694,"health",NA,3.9,16,16,49.3,1058
"22",70002,"health","premium",4.2,2,16,42.4,611
"23",87859,"toys","premium",4.1,6,10,72.3,830
"24",181331,"other",NA,4.5,6,22,33,1061
"25",221255,"food","off_brand",4.7,6,28,NA,2687
"26",156192,"toys","premium",4.2,11,21,61,2176
"27",121413,"other","off_brand",4.3,3,16,61.8,995
"28",153287,"toys","premium",4.6,11,9,88.4,930
"29",80445,"toys","premium",3.9,12,10,39.4,1155
"30",122721,"toys","premium",4.3,5,12,37.7,1935
"31",181510,"other","premium",4.8,7,18,26.7,2591
"32",224564,"toys",NA,4.6,15,28,62.8,3101
"33",167680,"food","off_brand",4.2,9,30,72.8,1347
"34",206841,"health","premium",4.7,6,9,34.6,2858
"35",169431,"food","off_brand",4,14,24,33.5,1878
"36",111751,"health","off_brand",4,5,7,39.2,891
"37",121089,"health","premium",4.6,17,13,68.9,985
"38",123830,"toys",NA,4.1,1,21,31.8,2933
"39",191766,"health","off_brand",4.4,9,21,58.7,3267
"40",60973,"toys","premium",3.6,2,25,104.5,2121
"41",248333,"health","premium",4.8,6,15,75.1,3451
"42",156062,"toys","premium",4.2,7,18,29.3,3141
"43",126291,"other","off_brand",4.4,10,NA,34.3,459
"44",252451,"toys","premium",4.7,8,14,56.6,4169
"45",190620,"toys","premium",4.5,10,20,27.6,2178
"46",57817,"toys","off_brand",3.6,10,10,46.3,893
"47",143309,"health","off_brand",4.1,9,18,78.1,1329
"48",171219,"toys","off_brand",3.9,6,17,66.4,2854
"49",122158,"toys","off_brand",4.5,1,27,61,945
"50",104500,"health","premium",3.9,6,17,76.9,1940
"51",175159,"health","off_brand",4.3,13,22,49.3,1531
"52",218513,"food","off_brand",3.9,1,6,NA,3445
"53",108459,"toys","premium",4.3,5,23,38.2,1124
"54",107328,"toys","off_brand",3.5,1,16,36.5,2784
"55",153233,"food","off_brand",4.2,4,24,27.6,1156
"56",151978,"health","premium",3.1,2,20,39.6,2939
"57",221495,"toys","off_brand",4.9,12,29,74.7,3129
"58",98150,"health","off_brand",4.5,5,NA,64.5,1097
"59",96583,"toys","premium",3.7,4,18,69.3,2111
"60",144000,"health","off_brand",4.1,19,25,47.4,1814
"61",182379,"health","off_brand",4.8,16,21,69.7,1467
"62",50182,"health","premium",3.9,2,26,69.4,788
"63",203148,"health","off_brand",4.3,4,12,49.7,3132
"64",82905,"health",NA,4.3,4,30,45.6,864
"65",260598,"food","off_brand",4.8,16,19,NA,3256
"66",219085,"toys","off_brand",4.3,2,NA,39,3941
"67",203715,"toys","off_brand",4.6,20,28,68,2124
"68",111375,"health","premium",4.3,6,24,50.5,1887
"69",207044,"food","off_brand",4.5,1,26,55.9,2309
