Supplier name,Location,Component,Year/Months,Delivery reliability (%),Rejection (%),Number of deliveries,Purchase value ,Transport costs,Demand per week (piece or liter),Purchase price,Order size,Stock (pieces or liters),Stock (weeks),Stock value,Economic inventory (weeks),Component availability (%),Amount purchased (piece or liters)
Tetra Packaging BV,Wales United Kingdom,Tetrapack 1 liter,2017 January,92.6%,3.6%,5.6,112251,4616,134135,0.0310,648000,587734,4.4,18278,9,99.5%,3609480
Tetra Packaging BV,Wales United Kingdom,Tetrapack 1 liter,2017 July,92.3%,3.6%,5.7,110692,4552,132257,0.0310,619636,564440,4.3,17553,9,99.5%,3559348
Tetra Packaging BV,Wales United Kingdom,Tetrapack 1 liter,2018 January,92.3%,3.6%,5.7,110692,4552,132257,0.0310,619636,564440,4.3,17553,9,99.5%,3559348
Tetra Packaging BV,Wales United Kingdom,Tetrapack 1 liter,2018 July,92.5%,3.6%,5.7,106155,4365,127068,0.0310,597256,496412,3.9,15438,8,99.0%,3413465
Tetra Packaging BV,Wales United Kingdom,Tetrapack 1 liter,2019 January,92.5%,3.7%,5.7,109445,4501,130882,0.0310,618906,506279,3.9,15745,8,98.8%,3519243
Tetra Packaging BV,Wales United Kingdom,Tetrapack 1 liter,2019 July,92.5%,3.8%,5.7,103816,4269,123730,0.0310,581149,530520,4.3,16499,9,99.7%,3338268
Tetra Packaging BV,Wales United Kingdom,Tetrapack 1 liter,2020 January,92.6%,3.6%,5.9,103162,4242,122651,0.0310,560499,510000,4.1,15860,9,99.2%,3317212
Tetra Packaging BV,Wales United Kingdom,Tetrapack 1 liter,2020 July,93.6%,3.4%,7.6,103151,4923,122528,0.0312,432591,526579,4.3,16456,9,99.8%,3300669
Tetra Packaging BV,Wales United Kingdom,Tetrapack 1 liter,2021 January,93.5%,3.4%,7.6,103023,4929,122591,0.0312,432000,527215,4.3,16478,9,99.8%,3296157
3M bottles,Dresden Germany,300ml bottle,2017 January,83.8%,5.8%,5.9,309591,146193,204841,0.0546,966119,869171,4.2,47527,8,99.7%,5661745
3M bottles,Dresden Germany,300ml bottle,2017 July,84.1%,5.9%,5.9,307931,145393,204297,0.0546,951612,851667,4.2,46566,8,99.5%,5631948
3M bottles,Dresden Germany,300ml bottle,2018 January,84.1%,5.9%,5.9,307931,145393,204297,0.0546,951612,851667,4.2,46566,8,99.5%,5631948
3M bottles,Dresden Germany,300ml bottle,2018 July,83.7%,5.8%,5.9,295487,139841,196724,0.0544,926448,742234,3.8,40396,7,99.4%,5429260
3M bottles,Dresden Germany,300ml bottle,2019 January,94.5%,3.9%,5.7,277742,116915,201832,0.0509,953251,658183,3.3,33554,8,97.9%,5448059
3M bottles,Dresden Germany,300ml bottle,2019 July,94.7%,3.2%,7.1,262374,110452,191876,0.0510,725548,664141,3.5,33928,8,99.1%,5135989
3M bottles,Dresden Germany,300ml bottle,2020 January,95.5%,2.8%,13.4,262861,111161,191910,0.0512,383459,535067,2.8,27425,8,99.5%,5128470
3M bottles,Dresden Germany,300ml bottle,2020 July,95.1%,2.8%,13.4,262813,111141,191761,0.0512,383388,533037,2.8,27321,8,99.7%,5127530
