transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
1,06/05/2023,,4,3,Breda,3.15,Tea,Green tea
2,06/09/2023,06:20:26,2,3,Breda,2.0,Coffee,Black coffee
3,06/07/2023,08:27:43,2,2,Groningen,4.5,Chocolate,Hot chocolate
4,06/09/2023,18:20:53,5,3,Breda,3.15,Tea,Green tea
5,06/10/2023,16:11:49,4,2,Groningen,3.5,Bakery,Pie
6,06/09/2023,06:35:40,1,3,Breda,3.0,Tea,Black tea
7,06/11/2023,17:06:50,2,2,Groningen,3.15,Tea,Green tea
8,06/10/2023,08:29:29,1,2,Groningen,3.15,Tea,Green tea
9,06/11/2023,08:19:44,2,2,Groningen,3.15,Tea,Green tea
10,06/06/2023,10:33:07,2,2,Groningen,4.5,Chocolate,Hot chocolate
11,06/08/2023,19:04:06,1,1,Amsterdam,3.15,Tea,Green tea
12,06/09/2023,08:25:45,1,2,Groningen,2.0,Coffee,Black coffee
13,06/10/2023,10:05:47,2,3,Breda,2.0,Coffee,Black coffee
14,06/07/2023,11:12:54,2,2,Groningen,3.5,Coffee,Milk coffee
15,06/10/2023,08:05:42,1,1,Amsterdam,6.3,Coffee,Organic blended coffee
16,06/07/2023,16:23:15,2,2,Groningen,3.5,Bakery,Pie
17,06/10/2023,09:10:26,1,2,Groningen,3.5,Tea,Herbal tea
18,06/08/2023,11:56:57,1,2,Groningen,6.3,Coffee,Organic blended coffee
19,06/07/2023,12:24:39,2,3,Breda,4.5,Chocolate,Hot chocolate
20,06/08/2023,15:45:40,1,3,Breda,4.25,Coffee,Syrup coffee
21,06/05/2023,12:16:29,2,3,Breda,3.0,Tea,Black tea
22,06/09/2023,17:57:29,4,3,Breda,4.5,Chocolate,Hot chocolate
23,06/09/2023,17:58:23,4,2,Groningen,6.3,Coffee,Organic blended coffee
24,06/06/2023,08:11:08,2,2,Groningen,3.75,Bakery,Sandwich
25,06/11/2023,10:01:01,1,2,Groningen,3.5,Coffee,Milk coffee
26,06/10/2023,09:07:57,1,2,Groningen,4.25,Coffee,Syrup coffee
27,06/10/2023,07:01:24,4,1,Amsterdam,4.5,Chocolate,Hot chocolate
28,06/08/2023,19:06:08,1,2,Groningen,4.5,Chocolate,Hot chocolate
29,06/11/2023,08:34:14,4,1,Amsterdam,6.3,Coffee,Organic blended coffee
30,06/07/2023,06:17:05,4,1,Amsterdam,4.5,Chocolate,Hot chocolate
31,06/07/2023,16:39:46,1,1,Amsterdam,3.25,Tea,Chai tea
32,06/11/2023,17:55:59,5,2,Groningen,3.5,Bakery,Pie
33,06/08/2023,11:59:29,3,2,Groningen,3.75,Bakery,Sandwich
34,06/11/2023,06:06:01,2,2,Groningen,4.25,Coffee,Syrup coffee
35,06/10/2023,12:05:50,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
36,06/10/2023,11:24:18,1,2,Groningen,4.5,Chocolate,Hot chocolate
37,06/06/2023,09:04:05,1,2,Groningen,4.25,Coffee,Syrup coffee
38,06/05/2023,14:10:45,2,1,Amsterdam,3.5,Tea,Herbal tea
39,06/10/2023,16:37:07,1,2,Groningen,4.5,Chocolate,Hot chocolate
40,06/08/2023,11:15:07,1,2,Groningen,4.5,Chocolate,Hot chocolate
41,06/06/2023,18:45:25,2,2,Groningen,4.5,Chocolate,Hot chocolate
42,06/10/2023,11:36:10,1,2,Groningen,4.25,Coffee,Syrup coffee
43,06/08/2023,18:15:41,,1,Amsterdam,3.0,Tea,Black tea
44,06/10/2023,09:33:22,2,3,Breda,4.5,Chocolate,Hot chocolate
45,06/10/2023,10:22:03,2,3,Breda,4.25,Coffee,Syrup coffee
46,06/07/2023,08:07:02,1,2,Groningen,3.5,Coffee,Milk coffee
47,06/05/2023,13:59:37,2,1,Amsterdam,2.0,Coffee,Black coffee
48,06/08/2023,16:35:44,1,2,Groningen,4.5,Chocolate,Hot chocolate
49,06/09/2023,16:15:57,1,3,Breda,4.5,Chocolate,Hot chocolate
50,06/10/2023,15:05:28,2,3,Breda,4.5,Chocolate,Hot chocolate
51,06/09/2023,11:02:07,1,2,Groningen,3.5,Bakery,Pie
52,06/06/2023,06:26:16,2,1,Amsterdam,3.5,Tea,Herbal tea
53,06/11/2023,09:38:04,3,3,Breda,3.75,Bakery,Sandwich
54,06/09/2023,17:19:36,3,2,Groningen,4.25,Coffee,Syrup coffee
55,06/10/2023,13:02:52,1,2,Groningen,3.25,Tea,Chai tea
56,06/10/2023,11:19:50,3,2,Groningen,3.5,Bakery,Pie
57,06/08/2023,16:34:09,2,3,Breda,3.5,Bakery,Pie
58,06/11/2023,14:40:51,2,1,Amsterdam,3.25,Tea,Chai tea
59,06/09/2023,11:51:13,2,1,Amsterdam,3.5,Coffee,Milk coffee
60,06/10/2023,17:43:59,2,2,Groningen,3.0,Tea,Black tea
61,06/11/2023,11:35:17,1,2,Groningen,3.0,Tea,Black tea
62,06/07/2023,12:13:10,1,2,Groningen,3.0,Bakery,Scone
63,06/07/2023,16:47:25,4,3,Breda,4.5,Chocolate,Hot chocolate
64,06/09/2023,16:30:07,2,1,Amsterdam,3.0,Bakery,Scone
65,06/09/2023,12:19:43,3,1,Amsterdam,4.25,Coffee,Syrup coffee
66,06/09/2023,14:22:52,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
67,06/10/2023,07:19:00,1,1,Amsterdam,4.25,Coffee,Syrup coffee
68,06/11/2023,11:23:50,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
69,06/07/2023,14:37:48,1,1,Amsterdam,4.25,Coffee,Syrup coffee
70,06/10/2023,14:33:33,1,1,Amsterdam,4.25,Coffee,Syrup coffee
71,06/06/2023,12:18:49,2,3,Breda,3.25,Tea,Chai tea
72,06/08/2023,07:09:30,4,3,Breda,2.0,Coffee,Black coffee
73,06/07/2023,11:27:51,2,2,Groningen,3.0,Bakery,Scone
74,06/09/2023,09:40:50,1,2,Groningen,4.5,Chocolate,Hot chocolate
75,06/08/2023,11:27:17,3,1,Amsterdam,3.75,Bakery,Sandwich
76,06/08/2023,08:04:08,2,2,Groningen,3.75,Bakery,Sandwich
77,06/10/2023,08:02:26,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
78,06/06/2023,16:10:33,3,2,Groningen,3.25,Tea,Chai tea
79,06/08/2023,10:13:29,2,3,Breda,4.5,Chocolate,Hot chocolate
80,06/10/2023,16:01:57,2,2,Groningen,6.3,Coffee,Organic blended coffee
81,06/09/2023,13:56:27,1,1,Amsterdam,3.0,Tea,Black tea
82,06/10/2023,12:40:51,2,3,Breda,4.5,Chocolate,Hot chocolate
83,06/08/2023,11:00:17,2,3,Breda,3.25,Tea,Chai tea
84,06/10/2023,10:58:57,1,1,Amsterdam,3.25,Tea,Chai tea
85,06/09/2023,11:45:46,2,1,Amsterdam,3.25,Tea,Chai tea
86,06/11/2023,16:32:51,2,3,Breda,4.5,Chocolate,Hot chocolate
87,06/08/2023,09:19:18,1,2,Groningen,3.5,Bakery,Pie
88,06/11/2023,16:35:57,2,2,Groningen,4.25,Coffee,Syrup coffee
89,06/10/2023,16:38:43,2,2,Groningen,3.5,Bakery,Pie
90,06/09/2023,10:17:37,1,3,Breda,3.5,Bakery,Pie
91,06/10/2023,17:04:22,1,3,Breda,3.75,Bakery,Sandwich
92,06/10/2023,08:57:36,2,3,Breda,3.0,Tea,Black tea
93,06/10/2023,13:24:58,2,2,Groningen,3.0,Tea,Black tea
94,06/08/2023,10:58:28,1,3,Breda,3.5,Coffee,Milk coffee
95,06/08/2023,19:52:24,1,2,Groningen,4.5,Chocolate,Hot chocolate
96,06/06/2023,13:02:03,1,2,Groningen,4.5,Chocolate,Hot chocolate
97,06/10/2023,17:53:55,2,2,Groningen,4.5,Chocolate,Hot chocolate
98,06/06/2023,18:51:51,1,2,Groningen,3.0,Bakery,Scone
99,06/10/2023,06:13:10,2,2,Groningen,6.3,Coffee,Organic blended coffee
100,06/08/2023,15:39:12,1,2,Groningen,3.5,Bakery,Pie
101,06/07/2023,09:29:04,2,2,Groningen,4.5,Chocolate,Hot chocolate
102,06/09/2023,07:07:53,3,3,Breda,4.5,Chocolate,Hot chocolate
103,06/11/2023,08:00:19,6,3,Breda,3.15,Tea,Green tea
